cate_id,img_url,org_url,prd_nm,prd_id,rate_cnt,rate_val,sales_price,seller_nm,cate_nm
8302,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/162480274188812819.png?gif=1&w=480&h=480&c=c,https://ohou.se/productions/824442/selling?affect_type=StoreSearchResult&affect_id=3,[오늘의딜] LED 네온사인 바이브폴 무드등 120cm/리모컨/밝기조절/점멸모드,824442,18,4.8,"17,900",오늘의집,턴업조명
8302,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/15650448090926_XxeoJ.jpg?gif=1&w=480&h=480&c=c,https://ohou.se/productions/738897/selling?affect_type=StoreSearchResult&affect_id=2,휴대용 LED 파티 미러볼 노래방 조명 M-101,738897,10,4.9,"13,900",오늘의집,턴업조명
8302,https://image.ohou.se/i/bucketplace-v2-development/uploads/deals/159435897026357469.jpg?gif=1&w=480&h=480&c=c,https://ohou.se/productions/404888/selling?affect_type=StoreSearchResult&affect_id=3,화려한 조명! 홈파티와 캠핑을 위한 미러볼2종 (오후 3시까지 당일출고),404888,226,4.6,"9,900",오늘의집,턴업조명
8302,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/162373938910362227.jpeg?gif=1&w=480&h=480&c=c,https://ohou.se/productions/307996/selling?affect_type=StoreSearchResult&affect_id=11,[썸머마켓]LED T5 칼라 형광등 간접조명_4sizes/3colors,307996,106,4.8,"4,200",오늘의집,턴업조명
8303,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/1571963079_121025_1.jpg?gif=1&w=480&h=480&c=c,https://ohou.se/productions/193467/selling?affect_type=StoreSearchResult&affect_id=4,레트로 플라워 고블렛 유리컵,193467,446,4.7,"10,900",오늘의집,술맛달달술잔
8302,https://image.ohou.se/i/bucketplace-v2-development/uploads/deals/159289477690913648.jpg?gif=1&w=480&h=480&c=c,https://ohou.se/productions/381767/selling?affect_type=StoreSearchResult&affect_id=5,히든LED조명 / 간접조명 3sizes,381767,"4,922",4.7,"9,900",오늘의집,턴업조명
8303,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/1550131754038_m4wX.jpg?gif=1&w=480&h=480&c=c,https://ohou.se/productions/46196/selling?affect_type=StoreSearchResult&affect_id=7,시바견 고양이 강화유리컵 2size,46196,866,4.8,"8,200",오늘의집,술맛달달술잔
8303,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/159210723775586426.JPG?gif=1&w=480&h=480&c=c,https://ohou.se/productions/365435/selling?affect_type=StoreSearchResult&affect_id=6,"코디얼 샷잔  6p세트 (소주잔, 사케컵, 감성술잔)",365435,214,4.9,"12,900",오늘의집,술맛달달술잔
8303,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/1554967013_118868_1.jpg?gif=1&w=480&h=480&c=c,https://ohou.se/productions/113244/selling?affect_type=StoreSearchResult&affect_id=30,플라워 라인 소주잔 2P 세트,113244,189,4.9,"8,900",오늘의집,술맛달달술잔
8303,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/158399577441400169.jpg?gif=1&w=480&h=480&c=c,https://ohou.se/productions/96849/selling?affect_type=StoreSearchResult&affect_id=14,글래스컵 (4종),96849,486,4.7,"14,220",오늘의집,술맛달달술잔
