cate_id,img_url,org_url,prd_nm,prd_id,rate_cnt,rate_val,sales_price,seller_nm,cate_nm,has_stock
103,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/161172916210533180.jpg?gif=1&w=480&h=480&c=c,https://ohou.se/productions/115752/selling?affect_type=ProductCategoryIndex&affect_id=,코코 수납형 원목 거울 화장대 (스툴선택),115752,"1,426",4.7,"69,900",오늘의집,화장대,True
103,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/157354523480116457.jpg?gif=1&w=480&h=480&c=c,https://ohou.se/productions/201836/selling?affect_type=ProductCategoryIndex&affect_id=,몬드 전신거울 수납 화장대,201836,267,4.5,"126,900",오늘의집,화장대,True
103,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/159644070378543684.jpg?gif=1&w=480&h=480&c=c,https://ohou.se/productions/25198/selling?affect_type=ProductCategoryIndex&affect_id=,[쿠폰할인] 피카 멀티 콘솔,25198,540,4.5,"220,000",오늘의집,화장대,True
103,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/159589922623132796.jpg?gif=1&w=480&h=480&c=c,https://ohou.se/productions/424510/selling?affect_type=ProductCategoryIndex&affect_id=,레이첼 확장형 화장대 거울포함 3colors(스툴추가선택),424510,297,4.6,"74,900",오늘의집,화장대,True
103,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/159098702193135721.jpg?gif=1&w=480&h=480&c=c,https://ohou.se/productions/345426/selling?affect_type=ProductCategoryIndex&affect_id=,멜트 600 수납거울 화장대 4colors MT01,345426,"1,247",4.4,"48,500",오늘의집,화장대,True
103,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/15650448017715_kqgCM.jpg?gif=1&w=480&h=480&c=c,https://ohou.se/productions/363976/selling?affect_type=ProductCategoryIndex&affect_id=,페페 좌식 수납화장대  600  2colors,363976,"1,570",4.5,"36,900",오늘의집,화장대,True
104,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/161094660401742988.jpg?gif=1&w=480&h=480&c=c,https://ohou.se/productions/300123/selling?affect_type=ProductCategoryIndex&affect_id=,비산 파손방지 강화 안전 대형 전신거울 400/600/700,300123,"3,466",4.7,"28,800",오늘의집,거울,True
10201,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/159590967095247591.jpg?gif=1&w=480&h=480&c=c,https://ohou.se/productions/425225/selling?affect_type=ProductCategoryIndex&affect_id=, THE BIO HOTEL 호텔식 메모리폼 매트리스(25cm),425225,526,4.8,"187,000",오늘의집,매트리스,True
104,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/160422090896829391.jpg?gif=1&w=480&h=480&c=c,https://ohou.se/productions/545294/selling?affect_type=ProductCategoryIndex&affect_id=,아치형 전신거울 (500~900size),545294,656,4.7,"115,000",오늘의집,거울,True
104,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/161717776796198385.jpg?gif=1&w=480&h=480&c=c,https://ohou.se/productions/22282/selling?affect_type=ProductCategoryIndex&affect_id=,애슐리 전신거울 3colors,22282,"16,043",4.7,"29,900",오늘의집,거울,True
104,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/160402266225129233.jpg?gif=1&w=480&h=480&c=c,https://ohou.se/productions/343456/selling?affect_type=ProductCategoryIndex&affect_id=,데코 전신경 전신거울 300/400/600/700,343456,"7,332",4.6,"9,500",오늘의집,거울,True
104,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/161517074824755275.jpeg?gif=1&w=480&h=480&c=c,https://ohou.se/productions/514408/selling?affect_type=ProductCategoryIndex&affect_id=,웨이브미러 M,514408,369,4.8,"59,000",오늘의집,거울,True
104,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/159598144334223838.jpg?gif=1&w=480&h=480&c=c,https://ohou.se/productions/428333/selling?affect_type=ProductCategoryIndex&affect_id=,프레임리스 아치형 전신거울 2size,428333,"1,361",4.7,"67,320",오늘의집,거울,True
104,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/159126017589390281.jpg?gif=1&w=480&h=480&c=c,https://ohou.se/productions/347910/selling?affect_type=ProductCategoryIndex&affect_id=,비바 골드 팔각 대형 전신거울,347910,"1,137",4.5,"52,900",오늘의집,거울,True
105,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/157233317070597151.jpg?gif=1&w=480&h=480&c=c,https://ohou.se/productions/69047/selling?affect_type=ProductCategoryIndex&affect_id=,오키 다용도 접이식 보조테이블 3colors,69047,"3,395",4.6,"36,900",오늘의집,협탁/사이드테이블,True
104,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/160402260234976772.jpg?gif=1&w=480&h=480&c=c,https://ohou.se/productions/337570/selling?affect_type=ProductCategoryIndex&affect_id=,데코 거치경 전신거울 300/400/600/700 ,337570,"4,318",4.5,"12,900",오늘의집,거울,True
105,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/159644056883417356.jpg?gif=1&w=480&h=480&c=c,https://ohou.se/productions/25206/selling?affect_type=ProductCategoryIndex&affect_id=,[쿠폰할인] 피카 사이드 테이블,25206,"1,111",4.6,"136,000",오늘의집,협탁/사이드테이블,True
105,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/156878676906277087.jpg?gif=1&w=480&h=480&c=c,https://ohou.se/productions/164913/selling?affect_type=ProductCategoryIndex&affect_id=,로라 라탄 협탁 2colors,164913,839,4.6,"194,900",오늘의집,협탁/사이드테이블,True
105,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/159701865379005454.jpg?gif=1&w=480&h=480&c=c,https://ohou.se/productions/443184/selling?affect_type=ProductCategoryIndex&affect_id=,베르 고무나무 심플 원목 미니 침대 옆 협탁 선반,443184,629,4.6,"49,900",오늘의집,협탁/사이드테이블,True
105,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/1593493607_102593_20.jpg?gif=1&w=480&h=480&c=c,https://ohou.se/productions/390234/selling?affect_type=StoreSearchResult&affect_id=4,TB8648 무노 베드테이블 SS DVX,390234,"1,606",4.5,"42,500",오늘의집,협탁/사이드테이블,True
105,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/160827327281248636.JPG?gif=1&w=480&h=480&c=c,https://ohou.se/productions/236794/selling?affect_type=ProductCategoryIndex&affect_id=,로즈 원목 사이드테이블,236794,"1,914",4.7,"38,000",오늘의집,협탁/사이드테이블,True
105,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/159038959273729504.jpg?gif=1&w=480&h=480&c=c,https://ohou.se/productions/321533/selling?affect_type=ProductCategoryIndex&affect_id=,플랫 리빙 사이드 테이블 540,321533,472,4.4,"62,900",오늘의집,협탁/사이드테이블,True
105,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/1554690204_103864_1.jpg?gif=1&w=480&h=480&c=c,https://ohou.se/productions/111807/selling?affect_type=StoreSearchResult&affect_id=22,핸디 뱀부 베드트레이,111807,267,4.6,"9,900",오늘의집,협탁/사이드테이블,True
20101,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/1531964785710_VEwgN1.jpg?gif=1&w=480&h=480&c=c,https://ohou.se/productions/32151/selling?affect_type=ProductCategoryIndex&affect_id=,타미 1인 패브릭소파 3colors,32151,"5,148",4.6,"108,000",오늘의집,일반소파,True
20101,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/159554939733191180.jpg?gif=1&w=480&h=480&c=c,https://ohou.se/productions/412919/selling?affect_type=ProductCategoryIndex&affect_id=,뮤즈 2인용 패브릭소파 스툴포함세트,412919,824,4.7,"104,950",오늘의집,일반소파,True
20101,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/157889585729081920.jpg?gif=1&w=480&h=480&c=c,https://ohou.se/productions/10704/selling?affect_type=ProductCategoryIndex&affect_id=,토니 2인소파 3colors,10704,"2,173",4.6,"119,000",오늘의집,일반소파,True
20101,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/162005691074551814.jpg?gif=1&w=480&h=480&c=c,https://ohou.se/productions/285538/selling?affect_type=ProductCategoryIndex&affect_id=,[주말특가] 슈슈 2인소파 (3종 택1),285538,217,4.5,"239,000",오늘의집,일반소파,True
20101,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/1560771050129_OTf.jpg?gif=1&w=480&h=480&c=c,https://ohou.se/productions/51232/selling?affect_type=ProductCategoryIndex&affect_id=,까페 2인 패브릭소파 7colors,51232,535,4.6,"83,000",오늘의집,일반소파,True
