,Unnamed: 0,Unnamed: 0.1,cate_id,img_url,org_url,prd_nm,prd_id,rate_cnt,rate_val,sales_price,cate_nm,seller_id,has_stock
11,11,11,10102,http://gdimg.gmarket.co.kr/2087839917/still/600?ver=1619068300,http://item.gmarket.co.kr/Item?goodscode=2087839917,(중복쿠폰5%)모노 무헤드 3단서랍 수납 침대 SS/Q ,2087839917,21,0,"179,000",수납침대,12,1
12,12,12,10102,http://gdimg.gmarket.co.kr/1466217270/still/600?ver=1599016748,http://item.gmarket.co.kr/Item?goodscode=1466217270,데일리 슈퍼싱글 수납 침대 프레임 학생침대 매트리스 ,1466217270,421,0,"168,000",수납침대,12,1
13,13,13,10102,http://gdimg.gmarket.co.kr/1426007615/still/600?ver=1623824990,http://item.gmarket.co.kr/Item?goodscode=1426007615,샘베딩 플레인 침대 SS 서랍형 프레임 ,1426007615,16,0,"290,280",수납침대,12,1
14,14,14,10102,http://gdimg.gmarket.co.kr/1654376975/still/600?ver=1597309984,http://item.gmarket.co.kr/Item?goodscode=1654376975,피터 빅서랍 3단 수납침대(매트제외-슈퍼싱글) ,1654376975,390,0,"139,000",수납침대,12,1
15,15,15,10102,http://gdimg.gmarket.co.kr/212586608/still/600?ver=1609295516,http://item.gmarket.co.kr/Item?goodscode=212586608,보스코4구 서랍침대/삼나무원목/수납침대/슈퍼/퀸/킹 ,212586608,6,0,"390,020",수납침대,12,1
16,16,16,10103,http://gdimg.gmarket.co.kr/1746697707/still/600?ver=1623510621,http://item.gmarket.co.kr/Item?goodscode=1746697707,탱크 철제 벙커침대 수납형 화이트 SS 수납계단형/ 옵티마 ,1746697707,0,0,"511,800",벙커침대,12,1
17,17,17,10103,http://gdimg.gmarket.co.kr/276407926/still/600?ver=1610522632,http://item.gmarket.co.kr/Item?goodscode=276407926,철제 분리형 책상 벙커침대 201 강판받침대+폼양면매트 ,276407926,24,0,"459,620",벙커침대,12,1
18,18,18,10103,http://gdimg.gmarket.co.kr/1740909383/still/600?ver=1621323210,http://item.gmarket.co.kr/Item?goodscode=1740909383,옵티마/화이트_GMB004WX-F/탱크 업다운 높이조절 철제 벙커침대 SS 원목사다리 ,1740909383,2,0,"422,190",벙커침대,12,1
19,19,19,10103,http://gdimg.gmarket.co.kr/1670502254/still/600?ver=1624877964,http://item.gmarket.co.kr/Item?goodscode=1670502254,에보니아  메리트 철재벙커침대_싱글_책상형(대)_매트제외  원목발판  / 성인겸용 ,1670502254,10,0,"248,000",벙커침대,12,1
20,20,20,10103,http://gdimg.gmarket.co.kr/1556282162/still/600?ver=1548928641,http://item.gmarket.co.kr/Item?goodscode=1556282162,튜브 철재벙커침대 S 기본형_매트제외 ,1556282162,3,0,"143,870",벙커침대,12,1
21,21,21,10103,http://gdimg.gmarket.co.kr/164522360/still/600?ver=1581048498,http://item.gmarket.co.kr/Item?goodscode=164522360,오키멧 인기 추천 침대 모음 (벙커/책상/이층) ,164522360,69,0,"239,000",벙커침대,12,1
22,22,22,10103,http://gdimg.gmarket.co.kr/652898893/still/600?ver=1614213573,http://item.gmarket.co.kr/Item?goodscode=652898893,오키멧 인기 침대 모음 (벙커/2층/책상/철제) ,652898893,23,0,"419,000",벙커침대,12,1
23,23,23,10103,http://gdimg.gmarket.co.kr/1659532529/still/600?ver=1577338916,http://item.gmarket.co.kr/Item?goodscode=1659532529,스토리쥬4 수납 벙커침대 기본형 IKST401 ,1659532529,49,0,"543,000",벙커침대,12,1
24,24,24,10104,http://gdimg.gmarket.co.kr/578960739/still/600?ver=1610497228,http://item.gmarket.co.kr/Item?goodscode=578960739,숨쉬는 침대 매트리스 깔판 높낮이 선택 슈퍼싱글 퀸 ,578960739,"2,511",0,"22,580",깔판,12,1
